Method,Nx,D,time (s),score
ref.,32,2,0.054506540298461914,0.11775126512463303
NadarayaWatson,32,2,0.0039980411529541016,0.07679034824089563
OTT,32,2,2.1663246154785156,0.02374676620804124
COT,32,2,0.004205465316772461,0.023676710513246713
ref.,32,10,0.0016021728515625,0.14848470445883175
NadarayaWatson,32,10,0.005244016647338867,0.1080541364624058
OTT,32,10,0.7307567596435547,0.1110327127586346
COT,32,10,0.006000041961669922,0.05726017292393418
ref.,32,100,0.00451970100402832,0.0890160546772368
NadarayaWatson,32,100,0.009557962417602539,0.07519609736054844
OTT,32,100,0.851630449295044,0.08862844255409986
COT,32,100,0.012000322341918945,0.06182560344560852
ref.,64,2,0.004001140594482422,0.0943949964116912
NadarayaWatson,64,2,0.01000356674194336,0.07524465696361327
OTT,64,2,1.7931199073791504,0.023718828240267564
COT,64,2,0.007006168365478516,0.02652183493210436
ref.,64,10,0.0039997100830078125,0.10288314098138339
NadarayaWatson,64,10,0.010077953338623047,0.08639698318448613
OTT,64,10,0.7892491817474365,0.033546924645629535
COT,64,10,0.008516073226928711,0.04780933965254586
ref.,64,100,0.007996797561645508,0.17489278070773945
NadarayaWatson,64,100,0.01800084114074707,0.09258088641061103
OTT,64,100,0.8994061946868896,0.17372887455409725
COT,64,100,0.018003225326538086,0.09792649840398528
ref.,128,2,0.005000114440917969,0.13037527246785882
NadarayaWatson,128,2,0.01900005340576172,0.09841594028004638
OTT,128,2,1.5166246891021729,0.013522699358875125
COT,128,2,0.011520147323608398,0.019315715127832072
ref.,128,10,0.0049991607666015625,0.1135154695472049
NadarayaWatson,128,10,0.01951456069946289,0.0741061007780576
OTT,128,10,0.7439696788787842,0.04176024589483005
COT,128,10,0.014009237289428711,0.053173269634651604
ref.,128,100,0.008513689041137695,0.1104425101973783
NadarayaWatson,128,100,0.017999649047851562,0.10096960426051241
OTT,128,100,0.8840124607086182,0.10773709798480176
COT,128,100,0.021999359130859375,0.05300598625212172
ref.,256,2,0.012001276016235352,0.13105410861522987
NadarayaWatson,256,2,0.05500602722167969,0.09060030871668712
OTT,256,2,1.5313904285430908,0.026238153879303214
COT,256,2,0.03500032424926758,0.01819531939960667
ref.,256,10,0.014998197555541992,0.1373484026281574
NadarayaWatson,256,10,0.056151628494262695,0.11374250662714368
OTT,256,10,0.7924892902374268,0.021238142028402743
COT,256,10,0.039379119873046875,0.03961371661284306
ref.,256,100,0.02192068099975586,0.12836432455172053
NadarayaWatson,256,100,0.0425114631652832,0.11665821250472141
OTT,256,100,0.883169412612915,0.12224106431297521
COT,256,100,0.05199909210205078,0.06576348479234369
ref.,512,2,0.06251835823059082,0.12268962832952937
NadarayaWatson,512,2,0.31099390983581543,0.06867909499644384
OTT,512,2,1.682771921157837,0.021158229048731367
COT,512,2,0.22516798973083496,0.022002911995480854
ref.,512,10,0.06752991676330566,0.11660654810035173
NadarayaWatson,512,10,0.30991077423095703,0.10068676150065622
OTT,512,10,0.8561763763427734,0.01721023771696884
COT,512,10,0.22754287719726562,0.03853088080915312
ref.,512,100,0.08652377128601074,0.11300187964738305
NadarayaWatson,512,100,0.16851544380187988,0.15000478230436926
OTT,512,100,1.078629970550537,0.10366064948686533
COT,512,100,0.24978971481323242,0.051187170279380516
ref.,1024,2,0.24709343910217285,0.11618937911318102
NadarayaWatson,1024,2,1.0714213848114014,0.06291428858163768
OTT,1024,2,2.186729669570923,0.02576909628737818
COT,1024,2,1.0213866233825684,0.02104321261851935
ref.,1024,10,0.25760769844055176,0.1346534641022102
NadarayaWatson,1024,10,1.0685992240905762,0.10101238395347789
OTT,1024,10,1.1337401866912842,0.022898377284708234
COT,1024,10,0.8929581642150879,0.03709589799367964
ref.,1024,100,0.3325469493865967,0.1258712561859791
NadarayaWatson,1024,100,0.5299487113952637,0.13860424257592197
OTT,1024,100,1.6608715057373047,0.1051168125034577
COT,1024,100,0.9226770401000977,0.055930827926512376
ref.,2048,2,1.1764581203460693,0.11705122514052674
NadarayaWatson,2048,2,4.356495380401611,0.05788794316873256
OTT,2048,2,3.865339517593384,0.02357078571673921
COT,2048,2,6.693530321121216,0.02125802550717823
ref.,2048,10,1.2537424564361572,0.12110253651541396
NadarayaWatson,2048,10,4.419245481491089,0.10736676778901634
OTT,2048,10,2.1643056869506836,0.011769889680783373
COT,2048,10,5.096019744873047,0.03176685118263695
ref.,2048,100,1.4906673431396484,0.11070140317717236
NadarayaWatson,2048,100,1.9320459365844727,0.1454506883944405
OTT,2048,100,3.296571731567383,0.0880254682409759
COT,2048,100,3.886258840560913,0.054033074734219644
ref.,4096,2,7.019402742385864,0.12100159734727195
NadarayaWatson,4096,2,18.405882835388184,0.06447358273074527
OTT,4096,2,9.942935228347778,0.023115869157410096
COT,4096,2,42.63373780250549,0.020757420871806955
ref.,4096,10,7.411332607269287,0.125336604208556
NadarayaWatson,4096,10,18.677236318588257,0.11281184353888032
OTT,4096,10,6.899075508117676,0.011434315779538582
COT,4096,10,28.13585591316223,0.03184231479161749
ref.,4096,100,7.881670236587524,0.1273345898527771
NadarayaWatson,4096,100,7.999967575073242,0.1442649103824117
OTT,4096,100,9.105042695999146,0.08468460544661693
COT,4096,100,18.34049391746521,0.057516490482812904
