Method,Nx,D,time (s),score
dumb,32,2,0.0,0.0035939314578172926
POT,32,2,0.0,0.0016968481452264864
OTT,32,2,1.012286901473999,0.0021835174411535263
KKmeans,32,2,0.01708674430847168,0.00203921944883138
dumb,32,10,0.0,0.0026692192694112576
POT,32,10,0.021004676818847656,0.0025182453491868514
OTT,32,10,0.31842684745788574,0.0014238953590393066
KKmeans,32,10,0.00500035285949707,0.0015602359156964628
dumb,32,100,0.0,0.004999477187603008
POT,32,100,0.0,0.012863325744216659
OTT,32,100,0.3445281982421875,0.004966092295944691
KKmeans,32,100,0.008001089096069336,0.0043477108913150654
dumb,64,2,0.0,0.005231472334139574
POT,64,2,0.0010004043579101562,0.0013723167511046944
OTT,64,2,0.6737408638000488,0.00304403156042099
KKmeans,64,2,0.005001068115234375,0.0020724175962789746
dumb,64,10,0.0,0.004769620339726273
POT,64,10,0.016614913940429688,0.00348563669304355
OTT,64,10,0.33077239990234375,0.0023379409685730934
KKmeans,64,10,0.006000518798828125,0.002216886736343792
dumb,64,100,0.0,0.003939316565284776
POT,64,100,0.0,0.010004077252539533
OTT,64,100,0.3855929374694824,0.003908731509000063
KKmeans,64,100,0.012052774429321289,0.002243835537604968
dumb,128,2,0.0,0.003940427735987434
POT,128,2,0.009020090103149414,0.002236565779832867
OTT,128,2,0.7007198333740234,0.002792679239064455
KKmeans,128,2,0.009001493453979492,0.002785504798891629
dumb,128,10,0.0,0.0034372440234567963
POT,128,10,0.21833419799804688,0.0031800565810938845
OTT,128,10,0.31301307678222656,0.002764681586995721
KKmeans,128,10,0.011001825332641602,0.002738925995290198
dumb,128,100,0.0,0.003846834608037657
POT,128,100,0.0020012855529785156,0.008867759096710514
OTT,128,100,0.4124746322631836,0.0037653176113963127
KKmeans,128,100,0.016002655029296875,0.002155691967805289
dumb,256,2,0.0,0.004938263061656328
POT,256,2,0.004303932189941406,0.004762090515667444
OTT,256,2,0.71950364112854,0.004808750003576279
KKmeans,256,2,0.021631240844726562,0.004626530399141772
dumb,256,10,0.0,0.004186120007171589
POT,256,10,0.03520631790161133,0.003436265596690126
OTT,256,10,0.3431127071380615,0.002683730097487569
KKmeans,256,10,0.030092716217041016,0.0024394615927696294
dumb,256,100,0.0,0.00390036760070546
POT,256,100,0.003996372222900391,0.008064618853194223
OTT,256,100,0.42200732231140137,0.003793282900005579
KKmeans,256,100,0.0377044677734375,0.0027414741702091044
dumb,512,2,0.0,0.005663696364113874
POT,512,2,0.0774848461151123,0.0019701694229721147
OTT,512,2,0.7804803848266602,0.0020849290303885937
KKmeans,512,2,0.09942436218261719,0.0018106851556833371
dumb,512,10,0.0,0.004821556050405821
POT,512,10,0.24427151679992676,0.0031132768297748663
OTT,512,10,0.4999082088470459,0.0017856560880318284
KKmeans,512,10,0.15427041053771973,0.0018866949540387017
dumb,512,100,0.0,0.004419970834092863
POT,512,100,0.012668132781982422,0.00923684740012304
OTT,512,100,0.5061521530151367,0.004121449775993824
KKmeans,512,100,0.1620016098022461,0.002589907977597847
dumb,1024,2,0.0,0.005911268402039297
POT,1024,2,0.30517125129699707,0.005906520274489298
OTT,1024,2,1.1096000671386719,0.005906171165406704
KKmeans,1024,2,0.43376731872558594,0.005894769930974688
dumb,1024,10,0.0,0.003886534260394846
POT,1024,10,0.32315826416015625,0.003419060624488395
OTT,1024,10,0.5389828681945801,0.0029480550438165665
KKmeans,1024,10,0.6046192646026611,0.002945045542489345
dumb,1024,100,0.0,0.004239796147411474
POT,1024,100,0.05001187324523926,0.009099743508860076
OTT,1024,100,0.9389476776123047,0.0037455728743225336
KKmeans,1024,100,0.5607855319976807,0.002183074402012919
dumb,2048,2,0.0,0.004094266402756791
POT,2048,2,0.0723416805267334,0.0017725141519991836
OTT,2048,2,1.865060567855835,0.0024508570786565542
KKmeans,2048,2,2.6889867782592773,0.002488379422144296
dumb,2048,10,0.0,0.003952485100033768
POT,2048,10,0.1302797794342041,0.00382985667584085
OTT,2048,10,0.9149947166442871,0.0030689523555338383
KKmeans,2048,10,2.6501665115356445,0.0031175825799709977
dumb,2048,100,0.0,0.004185364828016218
POT,2048,100,0.19642996788024902,0.009333559437018224
OTT,2048,100,1.494663953781128,0.0035299030132591724
KKmeans,2048,100,2.1014516353607178,0.0025150657238478574
dumb,4096,2,0.0,0.004127367979419946
POT,4096,2,0.35337400436401367,0.0018895891594985724
OTT,4096,2,3.729623556137085,0.0025450142566114664
KKmeans,4096,2,22.11113667488098,0.0029223371722672696
dumb,4096,10,0.0,0.003949518704991597
POT,4096,10,1.1826350688934326,0.0035153198907167506
OTT,4096,10,1.5031318664550781,0.003025669138878584
KKmeans,4096,10,15.805936336517334,0.0030583079300598
dumb,4096,100,0.0,0.004265181425544763
POT,4096,100,0.7601161003112793,0.009230056177730012
OTT,4096,100,2.514237642288208,0.0033263054210692644
KKmeans,4096,100,8.367687225341797,0.0027064161358757947
