,Ny,Method,Execution Time (s),score
0,5,random,106.02625107765198,0.9744
1,5,Sharp Disc.,172.6502902507782,0.9772
2,5,Greedy,117.13369226455688,0.9773
3,5,K-Means,108.37743377685547,0.9762
4,10,random,57.26747679710388,0.9734
5,10,Sharp Disc.,136.522602558136,0.9741
6,10,Greedy,69.12399244308472,0.9751
7,10,K-Means,58.75279116630554,0.9743
8,20,random,43.932486057281494,0.9696
9,20,Sharp Disc.,107.80321097373962,0.9702
10,20,Greedy,51.57327938079834,0.9721
11,20,K-Means,44.51683235168457,0.9702
12,40,random,40.03230547904968,0.9659
13,40,Sharp Disc.,106.59662914276123,0.9676
14,40,Greedy,47.46633577346802,0.9681
15,40,K-Means,40.98250770568848,0.9686
16,80,random,35.485456228256226,0.9665
17,80,Sharp Disc.,101.63038730621338,0.9673
18,80,Greedy,45.34389615058899,0.966
19,80,K-Means,40.22595810890198,0.9668
