,Ny,Method,Execution Time (s),score
0,16,random,0.2072744369506836,0.4769
1,16,Greedy,2.679048776626587,0.4221
2,16,K-Means,1.0748755931854248,0.6196
3,32,random,0.22724604606628418,0.5788
4,32,Greedy,3.0189921855926514,0.377
5,32,K-Means,1.3326830863952637,0.7369
6,64,random,0.2514801025390625,0.7165
7,64,Greedy,3.5595271587371826,0.5372
8,64,K-Means,1.7016258239746094,0.7551
9,128,random,0.29004788398742676,0.7513
10,128,Greedy,4.563542366027832,0.6277
11,128,K-Means,2.152111530303955,0.7987
12,256,random,0.3794441223144531,0.8605
13,256,Greedy,6.3132164478302,0.7856
14,256,K-Means,3.269761323928833,0.8348
15,512,random,0.560842752456665,0.8981
16,512,Greedy,9.933112621307373,0.8931
17,512,K-Means,5.442217588424683,0.8646
18,1024,random,1.042405366897583,0.9226
19,1024,Greedy,18.34449028968811,0.9485
20,1024,K-Means,10.245938301086426,0.9155
21,2048,random,2.1636524200439453,0.9447
22,2048,Greedy,38.86636161804199,0.9784
23,2048,K-Means,18.469666242599487,0.9449
24,4096,random,6.36962366104126,0.9592
25,4096,Greedy,97.6025562286377,0.9852
26,4096,K-Means,62.9512414932251,0.959
27,8192,random,28.56475329399109,0.967
28,8192,Greedy,290.5955412387848,0.9864
29,8192,K-Means,211.7602982521057,0.9709
