Method,Nx,D,time (s),score
ref.,32,2,0.0022106170654296875,0.13797085211887025
NadarayaWatson,32,2,0.00403594970703125,0.0707466329675185
OTT,32,2,0.557981014251709,0.04852991168394318
COT,32,2,0.0030095577239990234,0.024177851764809376
ref.,32,10,0.0009996891021728516,0.14848470445883175
NadarayaWatson,32,10,0.004002094268798828,0.1080541364624058
OTT,32,10,0.5713753700256348,0.1110327127586346
COT,32,10,0.004002809524536133,0.05726017292393418
ref.,32,100,0.0040013790130615234,0.0890160546772368
NadarayaWatson,32,100,0.006000041961669922,0.07519609736054844
OTT,32,100,0.710186243057251,0.08862844255409986
COT,32,100,0.011001348495483398,0.06182560344560852
ref.,64,2,0.0029976367950439453,0.0943949964116912
NadarayaWatson,64,2,0.012004375457763672,0.07524465696361327
OTT,64,2,0.6856741905212402,0.023718828240267564
COT,64,2,0.006000995635986328,0.02652183493210436
ref.,64,10,0.0029985904693603516,0.10288314098138339
NadarayaWatson,64,10,0.009000539779663086,0.08639698318448613
OTT,64,10,0.7012016773223877,0.033546924645629535
COT,64,10,0.0069997310638427734,0.04780933965254586
ref.,64,100,0.008997201919555664,0.17489278070773945
NadarayaWatson,64,100,0.013000249862670898,0.09258088641061103
OTT,64,100,0.7944273948669434,0.17372887455409725
COT,64,100,0.017006874084472656,0.09792649840398528
ref.,128,2,0.004005908966064453,0.13037527246785882
NadarayaWatson,128,2,0.018518686294555664,0.09841594028004638
OTT,128,2,0.692467451095581,0.013522699358875125
COT,128,2,0.013087749481201172,0.019315715127832072
ref.,128,10,0.004997730255126953,0.1135154695472049
NadarayaWatson,128,10,0.019999980926513672,0.0741061007780576
OTT,128,10,0.7495377063751221,0.04176024589483005
COT,128,10,0.014515876770019531,0.053173269634651604
ref.,128,100,0.008001565933227539,0.1104425101973783
NadarayaWatson,128,100,0.01599574089050293,0.10096960426051241
OTT,128,100,0.8433513641357422,0.10773709798480176
COT,128,100,0.020522117614746094,0.05300598625212172
ref.,256,2,0.015999317169189453,0.13105410861522987
NadarayaWatson,256,2,0.059001922607421875,0.09060030871668712
OTT,256,2,0.782111644744873,0.026238153879303214
COT,256,2,0.041521310806274414,0.01819531939960667
ref.,256,10,0.016001462936401367,0.1373484026281574
NadarayaWatson,256,10,0.057999372482299805,0.11374250662714368
OTT,256,10,0.7569468021392822,0.021238142028402743
COT,256,10,0.044002532958984375,0.03961371661284306
ref.,256,100,0.02751779556274414,0.12836432455172053
NadarayaWatson,256,100,0.042999267578125,0.11665821250472141
OTT,256,100,0.7897496223449707,0.12224106431297521
COT,256,100,0.05051732063293457,0.06576348479234369
ref.,512,2,0.0630042552947998,0.12268962832952937
NadarayaWatson,512,2,0.332674503326416,0.06867909499644384
OTT,512,2,0.8303110599517822,0.021158229048731367
COT,512,2,0.26307058334350586,0.022002911995480854
ref.,512,10,0.07151198387145996,0.11660654810035173
NadarayaWatson,512,10,0.3414194583892822,0.10068676150065622
OTT,512,10,0.8672285079956055,0.01721023771696884
COT,512,10,0.24052023887634277,0.03853088080915312
ref.,512,100,0.10008978843688965,0.11300187964738305
NadarayaWatson,512,100,0.1780543327331543,0.15000478230436926
OTT,512,100,1.0281131267547607,0.10366064948686533
COT,512,100,0.2547001838684082,0.051187170279380516
ref.,1024,2,0.2707047462463379,0.11618937911318102
NadarayaWatson,1024,2,1.1756591796875,0.06291428858163768
OTT,1024,2,1.4060907363891602,0.02576909628737818
COT,1024,2,1.211780309677124,0.02104321261851935
ref.,1024,10,0.30716609954833984,0.1346534641022102
NadarayaWatson,1024,10,1.4935731887817383,0.10101238395347789
OTT,1024,10,1.1422584056854248,0.022898377284708234
COT,1024,10,1.0257329940795898,0.03709589799367964
ref.,1024,100,0.37634873390197754,0.1258712561859791
NadarayaWatson,1024,100,0.5860087871551514,0.13860424257592197
OTT,1024,100,1.742445945739746,0.1051168125034577
COT,1024,100,0.9798707962036133,0.055930827926512376
ref.,2048,2,1.339951515197754,0.11705122514052674
NadarayaWatson,2048,2,4.972774982452393,0.05788794316873256
OTT,2048,2,3.0193707942962646,0.02357078571673921
COT,2048,2,6.799657344818115,0.02125802550717823
ref.,2048,10,1.2426159381866455,0.12110253651541396
NadarayaWatson,2048,10,4.647302150726318,0.10736676778901634
OTT,2048,10,2.0835583209991455,0.011769889680783373
COT,2048,10,5.229543685913086,0.03176685118263695
ref.,2048,100,1.5663654804229736,0.11070140317717236
NadarayaWatson,2048,100,1.9737796783447266,0.1454506883944405
OTT,2048,100,3.2120611667633057,0.0880254682409759
COT,2048,100,3.8487110137939453,0.054033074734219644
ref.,4096,2,6.516266584396362,0.12100159734727195
NadarayaWatson,4096,2,17.664688110351562,0.06447358273074527
OTT,4096,2,8.3729989528656,0.023115869157410096
COT,4096,2,39.82280445098877,0.020757420871806955
ref.,4096,10,5.968039035797119,0.125336604208556
NadarayaWatson,4096,10,17.683300495147705,0.11281184353888032
OTT,4096,10,6.1875433921813965,0.011434315779538582
COT,4096,10,26.08525776863098,0.03184231479161749
ref.,4096,100,6.471270799636841,0.1273345898527771
NadarayaWatson,4096,100,7.4789769649505615,0.1442649103824117
OTT,4096,100,8.613364696502686,0.08468460544661693
COT,4096,100,16.571314573287964,0.057516490482812904
