,Ny,Method,Execution Time (s),score
0,5,random,109.6117696762085,0.9744
1,5,Sharp Disc.,205.421138048172,0.9755
2,5,Greedy,152.38941550254822,0.9766
3,5,K-Means,144.4049310684204,0.9766
4,10,random,69.60921716690063,0.9739
5,10,Sharp Disc.,132.02864742279053,0.9744
6,10,Greedy,79.15290188789368,0.9739
7,10,K-Means,69.55164957046509,0.9737
8,20,random,46.48321986198425,0.9689
9,20,Sharp Disc.,110.74340605735779,0.9729
10,20,Greedy,55.976861238479614,0.9717
11,20,K-Means,47.445059299468994,0.9703
12,40,random,41.4437415599823,0.9653
13,40,Sharp Disc.,105.96189618110657,0.969
14,40,Greedy,52.056493520736694,0.9688
15,40,K-Means,40.87476396560669,0.969
16,80,random,37.84590435028076,0.9658
17,80,Sharp Disc.,100.8632402420044,0.9674
18,80,Greedy,48.21184325218201,0.9678
19,80,K-Means,38.954065799713135,0.9663
