,Ny,Method,Execution Time (s),score
0,5,random,280.7652635574341,0.9751
1,5,Sharp Disc.,474.53085374832153,0.976
2,5,Greedy,304.68677043914795,0.9764
3,5,K-Means,274.20725440979004,0.9763
4,10,random,177.13222789764404,0.9734
5,10,Sharp Disc.,377.9698736667633,0.9723
6,10,Greedy,183.89475536346436,0.9734
7,10,K-Means,167.36298441886902,0.9733
8,20,random,126.7184362411499,0.9698
9,20,Sharp Disc.,360.46877455711365,0.9705
10,20,Greedy,217.24539518356323,0.9701
11,20,K-Means,205.60803699493408,0.9703
12,40,random,199.363915681839,0.9662
13,40,Sharp Disc.,495.6520960330963,0.9671
14,40,Greedy,186.55568647384644,0.967
15,40,K-Means,172.03288674354553,0.9686
16,80,random,179.84856271743774,0.9654
17,80,Sharp Disc.,393.69107031822205,0.9671
18,80,Greedy,267.9723675251007,0.9678
19,80,K-Means,258.94060945510864,0.9672
