,Ny,Method,Execution Time (s),score
0,16,random,0.31073546409606934,0.359
1,16,Greedy,3.3882110118865967,0.4338
2,16,K-Means,1.5731992721557617,0.6152
3,32,random,0.38060832023620605,0.5019
4,32,Greedy,4.1209800243377686,0.3579
5,32,K-Means,2.1600632667541504,0.7363
6,64,random,0.38509559631347656,0.5918
7,64,Greedy,5.172212362289429,0.5031
8,64,K-Means,3.001753807067871,0.7533
9,128,random,0.49840283393859863,0.7686
10,128,Greedy,7.22046160697937,0.6582
11,128,K-Means,4.383035182952881,0.799
12,256,random,0.8427829742431641,0.8449
13,256,Greedy,10.870336532592773,0.7914
14,256,K-Means,6.862383127212524,0.8348
15,512,random,1.3655381202697754,0.8918
16,512,Greedy,18.367263078689575,0.8844
17,512,K-Means,12.614454507827759,0.8652
18,1024,random,2.697705030441284,0.9297
19,1024,Greedy,34.23953652381897,0.9542
20,1024,K-Means,25.224133253097534,0.9147
21,2048,random,5.845489501953125,0.9477
22,2048,Greedy,71.80454134941101,0.978
23,2048,K-Means,50.43032479286194,0.9445
24,4096,random,15.396459102630615,0.9604
25,4096,Greedy,170.8448133468628,0.9857
26,4096,K-Means,178.87265038490295,0.9589
27,8192,random,54.85795187950134,0.969
28,8192,Greedy,483.8823175430298,0.986
29,8192,K-Means,825.0051786899567,0.9705
